id,state_code,tenure,contract_length,promotions_offered,remaining_term,last_nps_rating,area_code,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes,total_intl_calls,total_intl_charge,number_customer_service_calls,churn
0,HI,156,14,Yes,1,6,area_code_510,no,no,0,167.0542167,63,29.30718149,231.9864949,108,19.13830209,208.3499316,130,9.190181033,8.01568848,7,2.24890244,7,no
1,MI,216,8,No,14,9,area_code_408,no,no,3,218.9255356,105,37.44064551,190.7711101,71,15.47443619,228.9020632,85,10.27785227,9.683971059,8,2.609739411,3,no
2,NH,18,20,No,12,1,area_code_408,no,no,1,187.9067912,95,32.43551535,268.3822722,55,22.54729703,202.3535272,127,8.898487864,14.03945018,8,3.845776157,2,no
3,MN,174,9,No,12,6,area_code_415,no,no,2,173.1849154,53,27.00095825,195.5643281,105,16.66650619,214.4875297,105,9.740333172,13.03106311,4,3.525822665,1,no
4,TX,68,19,No,22,5,area_code_415,no,no,1,221.9617425,85,38.72023796,237.9156019,88,20.40896855,190.0475341,113,8.813302818,6.760950434,4,1.82865228,0,no
5,WY,127,10,Yes,1,5,area_code_510,yes,no,1,248.9659727,100,42.02328021,108.3599992,114,9.537783175,225.4239811,73,9.920497557,10.73097348,3,2.901286071,2,no
6,MI,131,22,No,12,4,area_code_415,no,no,2,179.8731304,95,30.64968222,76.28926796,86,6.928839359,197.3580384,76,8.361830377,7.605923681,4,2.005870456,3,no
7,IN,77,8,No,17,10,area_code_408,no,no,1,173.7245004,128,29.34722941,269.8448082,108,23.36000757,259.0849656,102,12.22524448,8.639867293,3,2.182496235,1,no
8,IL,152,14,No,9,8,area_code_415,yes,no,1,207.0376566,67,34.45196076,207.698361,102,18.27476118,283.8785195,123,13.25826072,12.11238401,5,3.402875331,0,no
9,TN,226,21,No,23,7,area_code_408,no,yes,36,227.2208757,88,38.01509427,149.7237666,73,12.57766004,193.6780632,77,8.496320298,4.129411733,5,1.164346253,4,no
10,MA,121,11,NO,4,6,area_code_415,no,no,1,287.1148327,86,48.135726,149.7165103,111,12.27459613,251.7929424,94,11.18618861,8.329167681,8,2.186391555,0,yes
11,DC,116,19,No,16,4,area_code_415,no,yes,29,221.0664148,110,36.8318179,184.8952857,102,16.3174456,215.0911799,111,9.178971261,11.88027519,9,3.08582312,1,no
12,NV,41,22,No,8,1,area_code_510,no,no,1,180.8534912,87,32.32858137,200.9543292,108,17.12361788,216.1685614,129,9.031733185,6.952577468,1,1.647147358,1,no
13,PA,83,11,NO,7,4,area_code_415,no,no,1,276.8024702,111,46.48508284,197.2444819,112,16.38313386,269.1694625,92,12.0674122,6.764712826,7,1.88575982,1,yes
14,NH,129,12,No,10,4,area_code_415,no,yes,34,195.6987605,104,34.64689186,200.2053552,89,17.16938282,137.615171,48,5.350350817,15.90037401,2,4.173002338,2,no
15,AK,52,18,No,9,9,area_code_408,no,no,3,222.2295445,101,37.08397768,159.9248358,82,12.34686377,135.6591986,114,5.700552838,11.0323974,5,3.093027021,2,no
16,NM,121,20,Yes,4,2,area_code_415,yes,yes,13,174.6369701,92,29.65670556,209.0679391,108,18.07821249,89.50484801,107,3.661059705,8.134148766,5,2.357178062,5,yes
17,WI,122,23,No,16,9,area_code_415,no,yes,28,231.3614901,91,40.6295801,308.8794191,90,26.6537308,239.282309,139,10.93584389,10.37445839,6,2.781880017,0,no
18,NH,120,19,No,9,6,area_code_510,no,no,2,116.257159,144,20.33103916,227.2099495,92,19.7600281,237.0934908,96,11.23988494,15.96134101,8,4.172167854,3,no
19,WI,145,9,No,21,9,area_code_510,no,no,3,155.4290815,81,23.90881117,129.8148505,101,11.09548782,250.3145132,77,10.92240651,9.599817357,3,2.488475944,1,no
20,HI,53,10,No,12,9,area_code_408,no,yes,40,237.7482957,126,40.3756397,231.021014,127,19.03592882,301.4848817,116,13.70852382,9.566008404,5,2.63344624,2,no
21,ND,58,19,No,18,1,area_code_510,no,no,1,94.84300151,102,16.94259089,186.1626483,117,16.5106391,238.6538601,105,11.23521082,13.39602787,5,3.694080501,1,no
22,WY,133,16,No,4,7,area_code_510,no,no,1,105.704899,70,18.64678866,117.3128986,105,9.471364894,187.3109587,115,8.413035012,8.963520972,10,2.401700238,2,no
23,IN,70,15,No,12,5,area_code_415,no,no,2,218.2024104,100,38.67907418,250.4444018,96,20.89571516,254.7020711,125,10.89602761,2.921687381,4,0.799248668,1,no
24,NJ,116,18,No,12,7,area_code_510,no,no,0,191.3949449,78,30.99579288,196.3720007,122,16.73924471,155.1119779,79,6.537821716,12.241733,7,3.251305133,4,no
25,AR,75,10,No,17,8,area_code_415,no,yes,35,241.1015791,92,41.69903751,97.81640133,115,8.729239281,229.1816933,88,10.10588106,12.68097835,3,3.378420158,1,no
26,NE,115,17,No,18,6,area_code_415,yes,no,1,158.1216607,104,25.79957256,185.4016375,72,16.36202192,146.6703756,103,6.555566311,12.04692245,5,3.396768765,0,no
27,NE,93,9,No,17,10,area_code_510,no,yes,30,166.4091661,111,29.224561,285.5044459,137,24.37111702,293.4038545,93,12.88279368,7.074771249,4,2.039632005,2,no
28,NY,133,11,No,1,8,area_code_415,no,no,2,161.3580163,103,28.24578291,315.4639018,117,26.43597531,210.9938392,102,9.234719809,11.04012947,5,3.220994799,1,no
29,MN,85,13,No,20,8,area_code_510,no,no,2,112.8134359,110,20.19521641,47.08921563,89,3.806348261,192.2615838,80,8.057157038,13.78105636,5,3.743634674,0,no
30,OK,55,23,No,9,5,area_code_510,no,yes,36,166.4887202,88,28.84353695,228.6564056,99,19.12978199,172.3209007,81,7.552765701,8.376123507,4,2.191864545,0,no
31,NE,108,19,No,8,7,area_code_415,no,no,0,212.738414,105,36.53139497,150.6224369,81,12.61860529,251.7753234,98,10.80070207,10.7965764,5,2.851981806,3,no
32,SD,89,15,No,19,5,area_code_510,no,no,2,189.0797678,108,32.80577412,233.2745699,128,19.5493248,179.5421452,90,8.151530207,8.447833433,6,2.36376901,1,no
33,KY,108,14,No,24,2,area_code_415,no,no,2,163.8942295,81,27.38258812,162.1841245,99,13.81980945,211.7230802,110,9.607292807,9.548024884,8,2.684928196,6,no
34,NE,92,10,No,14,7,area_code_510,no,yes,30,164.503272,115,26.92668194,263.8129028,144,22.18788021,83.64646432,144,4.139407636,9.297011053,5,2.647306617,2,no
35,ID,146,22,No,15,10,area_code_415,no,yes,21,170.9193662,100,27.12060905,237.9711487,92,21.07091439,199.0631648,119,9.625589852,7.718269354,12,2.093069709,1,no
36,VT,119,22,No,13,9,area_code_415,no,no,0,201.8864901,110,34.92771414,261.5576052,93,21.65495257,208.4354735,85,8.990117258,9.28687413,2,2.557070876,1,no
37,OK,30,15,NO,2,1,area_code_415,yes,no,1,247.5550337,115,43.99746909,149.6487525,106,12.79471035,207.5805345,88,9.2088657,10.67643255,3,2.897805695,4,yes
38,NV,96,19,No,24,10,area_code_415,no,no,2,129.247959,59,21.50476549,195.9577207,151,15.27480964,277.0724535,107,12.5722301,5.734785955,6,1.417425104,0,no
39,NH,142,11,No,4,1,area_code_510,no,yes,20,160.4053333,97,26.93043961,227.0669706,126,18.56552991,226.9000775,99,9.813565369,11.05248289,3,3.001624261,1,no
40,IA,74,22,No,6,2,area_code_510,no,no,1,205.8353766,87,34.35596563,303.1479394,86,25.05102669,184.5097452,101,8.469527307,8.917032203,4,2.238615858,0,yes
41,MI,80,8,No,16,2,area_code_510,no,no,2,89.52933181,145,15.24180487,210.096797,69,16.99688385,183.8814582,73,8.284525058,9.650691237,2,2.674727331,1,no
42,MT,96,8,No,24,7,area_code_415,no,no,1,91.36514576,95,16.08675049,99.20683577,115,8.134813603,222.54329,111,9.868958379,11.99466081,9,3.070292377,1,no
43,KY,77,18,No,5,8,area_code_415,no,no,0,235.1611786,138,40.35013169,191.7118703,89,15.96432748,128.1989809,108,5.735118717,10.64722307,5,2.754735078,2,no
